Time,Address,Holding
2024-12-16T15:04:26Z,4syF2V1H2irK2mRDKTjAD2KmMjC33mCykZMwoHBZQk5a,441755.474512
2024-12-16T15:04:27Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258976912.245617
2024-12-16T15:04:27Z,GgKGfBdGgWsyHjDwcijnpY81aK1Yxc6BUXfbdL4ksL38,7910458.737228
2024-12-16T15:04:28Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258805664.944426
2024-12-16T15:04:28Z,8goQfivgju1SjhKp19upXT6DboKLvUjZ2oynDWSDBdNz,894090.192711
2024-12-16T15:04:29Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258768207.899753
2024-12-16T15:04:29Z,CxPYpgrswAoWmewcjnjK4AZVQfXFYF6e14LY6tqqpph8,4793841.993105
2024-12-16T15:04:29Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258730407.212468
2024-12-16T15:04:29Z,CYeubee7GjPQXFrX1eF6JkZzn6RZPEeevYzPF6vJTef1,3403451.103749
2024-12-16T15:04:30Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258696160.637126
2024-12-16T15:04:30Z,6cqK1vBQ38591wkuLW9SjVMhi7xnAUvUz46PJQ2117f,7341979.671706
2024-12-16T15:04:30Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258661914.061784
2024-12-16T15:04:30Z,BSnXBnhFWVPA9rXEpAgGeU74iZDbcmy8JBJJbvUV8YFK,328508.454426
2024-12-16T15:04:31Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258627667.486442
2024-12-16T15:04:31Z,5V1neTfpXfj2VeoWCcy9sxozGozc75qYQfYDHoeK8QK6,2540790.149793
2024-12-16T15:04:32Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258590338.719319
2024-12-16T15:04:32Z,3BMn3PX9VQZ6CPoFny8m6NPoJj7nei1qi2YPpMKA9Nks,13405181.799344
2024-12-16T15:04:34Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258556092.143977
2024-12-16T15:04:34Z,ApCupTVm11npCgUZ2B4m5xBWwsfggJn1fWxdkdeGanTW,8056664.576749
2024-12-16T15:04:34Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258520133.239868
2024-12-16T15:04:34Z,oMUyG8oAAiTsBQLRfqDUD1PqjmWZoZNYfLBU6Y4hNUp,4800043.218010
2024-12-16T15:04:34Z,Dgbsfst4coEs3kNYSNZKcqG9H2VwSDmjuvLaP9jtUQGw,2876406.284699
2024-12-16T15:04:36Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258442735.979595
2024-12-16T15:04:36Z,AqSNTuk4vu2hZYoZiLdVetda9hSZ9jfqa6TQ4jRWWFof,453596.041071
2024-12-16T15:04:36Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258405064.746719
2024-12-16T15:04:36Z,85b5Bue5B72Qaa2Cj9wkNGFwmXUYqiccRgNppqM8RgPN,445529.424621
2024-12-16T15:04:37Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258370818.171377
2024-12-16T15:04:37Z,Ax8qdyhWF8Pn6LUuEw97WRhupbFCw6vBHwzdwtX1isBD,7206628.497408
2024-12-16T15:04:38Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258330064.746720
2024-12-16T15:04:38Z,8dCkFyRyXqNZGDProweX9uDTK9LMavdCN6sPqN1DAtfy,7188118.790851
2024-12-16T15:04:39Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258296474.363939
2024-12-16T15:04:39Z,57pno6mN5PnSGwniFHJBcue2Pjz4hg8kaNJ5qWx4hqYA,739315.097183
2024-12-16T15:04:39Z,9K85VFvbifoXScj3UTK96DpMAUTViZvd6d48miMcJ99V,67461.277520
2024-12-16T15:04:39Z,Dj561fD9ckpiUdFPGVw7Vqs6qbpv5kJeiNm9rEouKQkC,0.000000
2024-12-16T15:04:40Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258221730.336636
2024-12-16T15:04:40Z,HRLNBkNLZr2JNHpoHDtjg3TP1tXySrmy5dzLtvqWfrGb,9838427.428420
2024-12-16T15:04:40Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258180774.705237
2024-12-16T15:04:40Z,8YcuW9T9HUDkYE4NCXyzTXCmHtdwHygExDah6L69a5j7,5372415.836109
2024-12-16T15:04:42Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258140501.667695
2024-12-16T15:04:42Z,59LitUsDmtPBirAWQeFCJTNcsCyg8pRESuztEPriMcB9,7063311.474150
2024-12-16T15:04:43Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258099546.036296
2024-12-16T15:04:43Z,Bqyw2y44JgCuaNmkvyBTHFePge6BWApKQTZiK143xtzn,5785615.861016
2024-12-16T15:04:43Z,CSP5VZC7upLrrwptb2A6fmR8go5h89NqjQuC9WU8hEwc,2995537.429843
2024-12-16T15:04:43Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258024802.008993
2024-12-16T15:04:43Z,4F92KjZgXbvSp9QECwk2GtgogaGm5aKueHC2Bs1cejgA,673860.209582
2024-12-16T15:04:44Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258452600.227655
2024-12-16T15:04:44Z,ExYfkeLe6YT7AFa8ufdaYM8YCu8t1xQC3qiFU2V41rUo,0.000000
2024-12-16T15:04:44Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258413009.783969
2024-12-16T15:04:44Z,5sSBqiCZyG1PfyECYrFgFVyTTgi5PwSE1eNFpB4K4LeV,526334.260757
2024-12-16T15:04:45Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258372054.152570
2024-12-16T15:04:45Z,Bqyw2y44JgCuaNmkvyBTHFePge6BWApKQTZiK143xtzn,5826571.492415
2024-12-16T15:04:47Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258332805.005813
2024-12-16T15:04:47Z,4syF2V1H2irK2mRDKTjAD2KmMjC33mCykZMwoHBZQk5a,481004.621269
2024-12-16T15:04:47Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258295262.343697
2024-12-16T15:04:47Z,Gr1jkcFyF5Z8UmL2TBZjKL3GsBpZbru92Ra1zM4g3Xf9,9806599.719937
2024-12-16T15:04:48Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258219494.425609
2024-12-16T15:04:48Z,6B6Rdp3iQpkcxHqdf5MKH31Jjq7qZP1xoZ42VAWY9LAK,5703079.225921
2024-12-16T15:04:48Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258257719.681581
2024-12-16T15:04:48Z,6T9hbac16V8x7FZFw64mUbfH49xy43uhcogBd8cXZZSm,638529.769377
2024-12-16T15:04:49Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258181951.763493
2024-12-16T15:04:49Z,EFFzzjc8NgZ4uG5xtsN2SJFVpD8APR3d3nU5Tr5HT64z,2630522.328297
2024-12-16T15:04:49Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258140996.132094
2024-12-16T15:04:49Z,ANwGXEn4BZ8tBYCoPAV5QM4uK2ikAYRbZa2kSCY9uGra,5265846.272629
2024-12-16T15:04:49Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258103453.469978
2024-12-16T15:04:49Z,8NaCufDfBCcaNeAERbUZdvf7PaFxuXgChhPGa2ZAkY2F,14958850.352486
2024-12-16T15:04:50Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,258068641.183289
2024-12-16T15:04:50Z,3JQEC8NpLhif9tkKfUeYtLPRdtYnsa2pALqz6h6JZdfW,438646.313321
2024-12-16T15:04:51Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,257727344.254962
2024-12-16T15:04:51Z,9JsFX8uXqLq2dtywapfz7kwfWnL4tPkDSKUuXWHJDm7d,3813519.433166
2024-12-16T15:04:51Z,CDStv4Qw27ouFVfTJZ3Pihd7EDeFoU3qWQ2iLkDorp2h,541358.755225
2024-12-16T15:04:51Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,257651917.633802
2024-12-16T15:04:51Z,CKXtYtbe2wnGraUaJB2gNym2gacvrqqEpK9daK84bRQh,550980.781750
2024-12-16T15:04:52Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,257610962.002403
2024-12-16T15:04:52Z,3gw2WcTrLmzMPvWJeTKMK1NzBDFhEZkwNPwseu16uMst,434546.004800
2024-12-16T15:04:53Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,257574101.934144
2024-12-16T15:04:53Z,57pno6mN5PnSGwniFHJBcue2Pjz4hg8kaNJ5qWx4hqYA,776175.165442
2024-12-16T15:04:53Z,5sSBqiCZyG1PfyECYrFgFVyTTgi5PwSE1eNFpB4K4LeV,563876.922873
2024-12-16T15:04:53Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,257499699.203769
2024-12-16T15:04:53Z,Frx5JG9GKD88Y9fu7Ppz3uqUpJvZsZyQ2zo3PA9PV4q,5279020.716862
2024-12-16T15:04:53Z,85b5Bue5B72Qaa2Cj9wkNGFwmXUYqiccRgNppqM8RgPN,484437.274450
2024-12-16T15:04:56Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,257343444.415165
2024-12-16T15:04:56Z,FHHCd4wjBWnKUdngHfVbt8v3zvUDxhzWZPqDoVUykQUS,722216.711045
2024-12-16T15:04:56Z,3gw2WcTrLmzMPvWJeTKMK1NzBDFhEZkwNPwseu16uMst,470260.290514
2024-12-16T15:04:56Z,4AuWU6MTVMyrvjAPBN6ctt22kNgLEStrNbRasDtXrF51,433540.673235
2024-12-16T15:04:56Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,257234260.741697
2024-12-16T15:04:56Z,DwDNnxRHG5e595WrCFKR2FNjZDa8NYWtwe2qmbZrMRqm,828286.301529
2024-12-16T15:04:57Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,257196845.775711
2024-12-16T15:04:57Z,3ELGxb89pVjtpbizwCbhZbBsenN97w84yM3JPimE6eXw,10376595.830514
2024-12-16T15:04:58Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,257119975.027413
2024-12-16T15:04:58Z,ERnQyFyc1ULQJXmsk79xvaQSmCarDVUe8RrKF5ecJyXh,6614120.377170
2024-12-16T15:04:56Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,257422015.843736
2024-12-16T15:04:56Z,3HwXFrri7PXWr1n8DqtinDddMTiv6Jhyi5Dcx9xn1fdq,8432602.854369
2024-12-16T15:04:56Z,9QEznRGUNiz6M2WhJK5s7PTAiAWyYpppEgH52J42s4TH,2815295.877851
2024-12-16T15:04:57Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,257160791.353943
2024-12-16T15:04:57Z,58TJBVt7RTFdukgdFNi6wzouBqETNSTub3vSthE5ZaJ3,680964.498207
2024-12-16T15:04:58Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,257082560.061427
2024-12-16T15:04:58Z,6snDYtVPmiMSSX35i1hL9Gu5dK5MQTV74pps9SQhV9Zk,5158988.379740
2024-12-16T15:04:59Z,5tvFqz38wxL9BWhTo64TQ7mY6sKfQfV7PDcWy2DLwUCN,257046288.874987
2024-12-16T15:04:59Z,AbBP4bVZ5pKPP8huGW4ZSrc9esSg9NnU7X6jPnUyzQch,831808.373021
