Time,PriceInUSD
2024-12-16T15:03:43Z,6.222054723897114e-05
2024-12-16T15:03:43Z,6.223444774039812e-05
2024-12-16T15:03:43Z,6.224835357358758e-05
2024-12-16T15:03:44Z,6.226181151560239e-05
2024-12-16T15:03:45Z,6.22759213901739e-05
2024-12-16T15:03:46Z,6.229033859998274e-05
2024-12-16T15:03:46Z,6.230408608937218e-05
2024-12-16T15:03:47Z,6.231783669053098e-05
2024-12-16T15:03:48Z,6.233223918600789e-05
2024-12-16T15:03:48Z,6.234716761651491e-05
2024-12-16T15:03:49Z,6.236274912683685e-05
2024-12-16T15:03:49Z,6.237749554182362e-05
2024-12-16T15:03:50Z,6.239205084052848e-05
2024-12-16T15:03:50Z,6.24066748546328e-05
2024-12-16T15:03:56Z,6.253342369795672e-05
2024-12-16T15:03:59Z,6.259071637693281e-05
2024-12-16T15:04:00Z,6.260373302536394e-05
2024-12-16T15:04:00Z,6.261805820983111e-05
2024-12-16T15:04:00Z,6.263258150743238e-05
2024-12-16T15:04:02Z,6.265315474801082e-05
2024-12-16T15:04:02Z,6.266795739163783e-05
2024-12-16T15:04:09Z,6.286297811121965e-05
2024-12-16T15:04:10Z,6.286954299075147e-05
2024-12-16T15:04:11Z,6.289223159110656e-05
2024-12-16T15:04:17Z,6.300941776943453e-05
2024-12-16T15:04:17Z,6.302313139291319e-05
2024-12-16T15:04:18Z,6.303684158627095e-05
2024-12-16T15:04:21Z,6.310401008506982e-05
2024-12-16T15:04:22Z,6.311820977160192e-05
2024-12-16T15:04:22Z,6.319003604325544e-05
2024-12-16T15:04:22Z,6.326143334900592e-05
2024-12-16T15:04:23Z,6.327469874867646e-05
2024-12-16T15:04:24Z,6.328846886969201e-05
2024-12-16T15:04:24Z,6.330222347162253e-05
2024-12-16T15:04:26Z,6.331552392539344e-05
2024-12-16T15:04:27Z,6.332968300997117e-05
2024-12-16T15:04:28Z,6.336977726598139e-05
2024-12-16T15:04:29Z,6.340964210350614e-05
2024-12-16T15:04:29Z,6.342403002842973e-05
2024-12-16T15:04:30Z,6.345090354001921e-05
2024-12-16T15:04:30Z,6.343780278846946e-05
2024-12-16T15:04:31Z,6.346401062349332e-05
2024-12-16T15:04:32Z,6.347771040957026e-05
2024-12-16T15:04:34Z,6.349141519222567e-05
2024-12-16T15:04:34Z,6.350485967698998e-05
2024-12-16T15:04:34Z,6.351935993916292e-05
2024-12-16T15:04:36Z,6.353418964429237e-05
2024-12-16T15:04:36Z,6.354863218818202e-05
2024-12-16T15:04:37Z,6.35624277241881e-05
2024-12-16T15:04:38Z,6.357681481412657e-05
2024-12-16T15:04:39Z,6.359107852709717e-05
2024-12-16T15:04:39Z,6.360506313197568e-05
2024-12-16T15:04:40Z,6.36194205875141e-05
2024-12-16T15:04:40Z,6.363410557044489e-05
2024-12-16T15:04:42Z,6.364971247577448e-05
