open,close,high,low,Time
0.000010699144,0.48056965,0.48056965,0.000010699144,1736257987.0
0.48056965,0.48056246,0.48058405,0.48056246,1736257988.0
0.48056246,0.48059124,0.48059124,0.48056246,1736257989.0
0.48059124,0.48059124,0.48059124,0.48059124,1736257990.0
0.48059124,0.48053912,0.48059124,0.48053912,1736257991.0
0.48053912,0.48055711,0.48055711,0.48053912,1736257992.0
0.48055711,0.48055711,0.48055711,0.48055711,1736257993.0
0.48055711,0.48055711,0.48055711,0.48055711,1736257994.0
0.48055711,0.48055711,0.48055927,0.48055711,1736257995.0
0.48055711,0.48058609,0.48058609,0.48055711,1736257996.0
0.48058609,0.48058609,0.48058609,0.48058609,1736257997.0
0.48058609,0.4806309,0.4806309,0.48058609,1736257998.0
0.4806309,0.4806309,0.4806309,0.4806309,1736257999.0
0.4806309,0.4806309,0.4806309,0.4806309,1736258000.0
0.4806309,0.48067502,0.48067502,0.48063085,1736258001.0
0.48067502,0.48067502,0.48067502,0.48067502,1736258002.0
0.48067502,0.48067502,0.48067502,0.48066962,1736258003.0
0.48067502,0.48067502,0.48067502,0.48067502,1736258004.0
0.48067502,0.48071792,0.48071792,0.48067502,1736258005.0
0.48071792,0.48071792,0.48071792,0.48071792,1736258006.0
0.48071792,0.4808204,0.4808204,0.48071792,1736258007.0
0.4808204,0.4808204,0.4808204,0.4808204,1736258008.0
0.4808204,0.4808204,0.4808204,0.4808204,1736258009.0
0.4808204,0.4808204,0.4808204,0.4808204,1736258010.0
0.4808204,0.4808204,0.4808204,0.4808204,1736258011.0
0.4808204,0.4808844,0.4808844,0.4808204,1736258012.0
0.4808844,0.4808844,0.4808844,0.4808844,1736258013.0
0.4808844,0.4808844,0.4808844,0.4808844,1736258014.0
0.4808844,0.4808844,0.4808844,0.4808844,1736258015.0
0.4808844,0.4808844,0.4808844,0.4808844,1736258016.0
0.4808844,0.4808844,0.4808844,0.4808844,1736258017.0
0.4808844,0.4808844,0.4808844,0.4808844,1736258018.0
0.4808844,0.4808844,0.4808844,0.4808844,1736258019.0
0.4808844,0.4808844,0.4808844,0.4808844,1736258020.0
0.4808844,0.48095396,0.48095396,0.4808844,1736258021.0
0.48095396,0.48095396,0.48095396,0.48095396,1736258022.0
0.48095396,0.48095396,0.48095396,0.48095396,1736258023.0
0.48095396,0.48095396,0.48095396,0.48095396,1736258024.0
0.48095396,0.48095396,0.48095396,0.48095396,1736258025.0
0.48095396,0.48095396,0.48095396,0.48095396,1736258026.0
0.48095396,0.48095396,0.48095396,0.48095396,1736258027.0
0.48095396,0.48095396,0.48095396,0.48095396,1736258028.0
0.48095396,0.48098931,0.48098931,0.48095396,1736258029.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258030.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258031.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258032.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258033.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258034.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258035.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258036.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258037.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258038.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258039.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258040.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258041.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258042.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258043.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258044.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258045.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258046.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258047.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258048.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258049.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258050.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258051.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258052.0
0.48098931,0.48098931,0.48098931,0.48098931,1736258053.0
0.48098931,0.47849337,0.48098931,0.47849337,1736258054.0
0.47849337,0.47849337,0.47849337,0.47849337,1736258055.0
0.47849337,0.47849337,0.47849337,0.47849337,1736258056.0
0.47849337,0.47849337,0.47849337,0.47849337,1736258057.0
0.47849337,0.47849337,0.47849337,0.47849337,1736258058.0
0.47849337,0.48093018,0.48093018,0.47849337,1736258059.0
0.48093018,0.48093018,0.48093018,0.48093018,1736258060.0
0.48093018,0.4785127,0.48093018,0.4785127,1736258061.0
0.4785127,0.4785127,0.4785127,0.4785127,1736258062.0
