open,close,high,low,Time
0.000000021003791,0.076365933,0.076365933,0.000000021003791,1735633065.0
0.076365933,0.19055216,0.19060265,0.076365933,1735633066.0
0.19055216,0.19055464,0.19055464,0.19055216,1735633067.0
0.19055464,0.1905554,0.1905554,0.19055464,1735633068.0
0.1905554,0.1905554,0.1905554,0.1905554,1735633069.0
0.1905554,0.19055844,0.19055844,0.1905554,1735633070.0
0.19055844,0.19055806,0.19055844,0.19055765,1735633071.0
0.19055806,0.1905903,0.1905903,0.19055806,1735633072.0
0.1905903,0.19059106,0.19059106,0.1905903,1735633073.0
0.19059106,0.1905941,0.1905941,0.19059106,1735633074.0
0.1905941,0.19059125,0.1905941,0.19059125,1735633075.0
0.19059125,0.19059125,0.19059125,0.19059125,1735633076.0
0.19059125,0.19059125,0.19059125,0.19059125,1735633077.0
0.19059125,0.19057041,0.19059125,0.19055226,1735633078.0
0.19057041,0.19057041,0.19057041,0.19057041,1735633079.0
0.19057041,0.19057041,0.19057041,0.19057041,1735633080.0
0.19057041,0.19076034,0.19076034,0.19057041,1735633081.0
0.19076034,0.19076034,0.19076034,0.19076034,1735633082.0
0.19076034,0.19076034,0.19076034,0.19076034,1735633083.0
0.19076034,0.19076034,0.19076034,0.19076034,1735633084.0
0.19076034,0.19076034,0.19076034,0.19076034,1735633085.0
0.19076034,0.19076034,0.19076034,0.19076034,1735633086.0
0.19076034,0.19076034,0.19076034,0.19076034,1735633087.0
0.19076034,0.19076034,0.19076034,0.19076034,1735633088.0
0.19076034,0.19087369,0.19087369,0.19076034,1735633089.0
0.19087369,0.19087369,0.19087369,0.19087369,1735633090.0
0.19087369,0.19087369,0.19087369,0.19087369,1735633091.0
0.19087369,0.19087369,0.19087369,0.19087369,1735633092.0
0.19087369,0.19087369,0.19087369,0.19087369,1735633093.0
0.19087369,0.19087369,0.19087369,0.19087369,1735633094.0
0.19087369,0.19087369,0.19087369,0.19087369,1735633095.0
0.19087369,0.19087369,0.19087369,0.19087369,1735633096.0
0.19087369,0.19087369,0.19087369,0.19087369,1735633097.0
0.19087369,0.18990059,0.19087369,0.18990059,1735633098.0
0.18990059,0.18990059,0.18990059,0.18990059,1735633099.0
0.18990059,0.18990059,0.18990059,0.18990059,1735633100.0
0.18990059,0.18990059,0.18990059,0.18990059,1735633101.0
0.18990059,0.18990059,0.18990059,0.18990059,1735633102.0
0.18990059,0.18990059,0.18990059,0.18990059,1735633103.0
0.18990059,0.18990059,0.18990059,0.18990059,1735633104.0
0.18990059,0.18990059,0.18990059,0.18990059,1735633105.0
0.18990059,0.18990059,0.18990059,0.18990059,1735633106.0
0.18990059,0.18990059,0.18990059,0.18990059,1735633107.0
0.18990059,0.18990827,0.18990827,0.18990059,1735633108.0
0.18990827,0.18990827,0.18990827,0.18990827,1735633109.0
0.18990827,0.18990827,0.18990827,0.18990827,1735633110.0
0.18990827,0.18990827,0.18990827,0.18990827,1735633111.0
0.18990827,0.18990827,0.18990827,0.18990827,1735633112.0
0.18990827,0.18990827,0.18990827,0.18990827,1735633113.0
0.18990827,0.18990827,0.18990827,0.18990827,1735633114.0
0.18990827,0.18990827,0.18990827,0.18990827,1735633115.0
0.18990827,0.18990827,0.18990827,0.18990827,1735633116.0
0.18990827,0.18990827,0.18990827,0.18990827,1735633117.0
0.18990827,0.18978797,0.18990827,0.18978797,1735633118.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633119.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633120.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633121.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633122.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633123.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633124.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633125.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633126.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633127.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633128.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633129.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633130.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633131.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633132.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633133.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633134.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633135.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633136.0
0.18978797,0.18978797,0.18978797,0.18978797,1735633137.0
0.18978797,0.18964712,0.18978797,0.18964712,1735633138.0
0.18964712,0.18964712,0.18964712,0.18964712,1735633139.0
0.18964712,0.18964712,0.18964712,0.18964712,1735633140.0
0.18964712,0.18964712,0.18964712,0.18964712,1735633141.0
0.18964712,0.18964712,0.18964712,0.18964712,1735633142.0
0.18964712,0.18964712,0.18964712,0.18964712,1735633143.0
0.18964712,0.19059645,0.19059645,0.18964712,1735633144.0
0.19059645,0.19059645,0.19059645,0.19059645,1735633145.0
0.19059645,0.19059645,0.19059645,0.19059645,1735633146.0
0.19059645,0.19059645,0.19059645,0.19059645,1735633147.0
0.19059645,0.19059645,0.19059645,0.19059645,1735633148.0
0.19059645,0.19059645,0.19059645,0.19059645,1735633149.0
0.19059645,0.19059645,0.19059645,0.19059645,1735633150.0
0.19059645,0.19059645,0.19059645,0.19059645,1735633151.0
0.19059645,0.19059645,0.19059645,0.19059645,1735633152.0
0.19059645,0.19059645,0.19059645,0.19059645,1735633153.0
0.19059645,0.19068249,0.19068249,0.19059645,1735633154.0
0.19068249,0.19068249,0.19068249,0.19068249,1735633155.0
0.19068249,0.19068249,0.19068249,0.19068249,1735633156.0
0.19068249,0.19068249,0.19068249,0.19068249,1735633157.0
0.19068249,0.19068249,0.19068249,0.19068249,1735633158.0
0.19068249,0.19073857,0.19073857,0.19068249,1735633159.0
0.19073857,0.19073857,0.19073857,0.19073857,1735633160.0
0.19073857,0.19073857,0.19073857,0.19073857,1735633161.0
0.19073857,0.19077628,0.19077628,0.18982281,1735633162.0
0.19077628,0.19077628,0.19077628,0.19077628,1735633163.0
0.19077628,0.19077628,0.19077628,0.19077628,1735633164.0
0.19077628,0.19077628,0.19077628,0.19077628,1735633165.0
0.19077628,0.19077617,0.19077628,0.19077617,1735633166.0
0.19077617,0.19077617,0.19077617,0.19077617,1735633167.0
0.19077617,0.19077617,0.19077617,0.19077617,1735633168.0
0.19077617,0.19077617,0.19077617,0.19077617,1735633169.0
0.19077617,0.19077617,0.19077617,0.19077617,1735633170.0
0.19077617,0.19077617,0.19077617,0.19077617,1735633171.0
0.19077617,0.19077617,0.19077617,0.19077617,1735633172.0
0.19077617,0.19082223,0.19082223,0.19077617,1735633173.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633174.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633175.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633176.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633177.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633178.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633179.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633180.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633181.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633182.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633183.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633184.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633185.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633186.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633187.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633188.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633189.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633190.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633191.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633192.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633193.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633194.0
0.19082223,0.19082223,0.19082223,0.19082223,1735633195.0
0.19082223,0.19086981,0.19086981,0.19082223,1735633196.0
0.19086981,0.19086981,0.19086981,0.19086981,1735633197.0
0.19086981,0.19086981,0.19086981,0.19086981,1735633198.0
0.19086981,0.19086981,0.19086981,0.19086981,1735633199.0
0.19086981,0.19086981,0.19086981,0.19086981,1735633200.0
0.19086981,0.19086981,0.19086981,0.19086981,1735633201.0
0.19086981,0.19086981,0.19086981,0.19086981,1735633202.0
0.19086981,0.19086981,0.19086981,0.19086981,1735633203.0
0.19086981,0.19086981,0.19086981,0.19086981,1735633204.0
0.19086981,0.19086981,0.19086981,0.19086981,1735633205.0
0.19086981,0.19086981,0.19086981,0.19086981,1735633206.0
0.19086981,0.19086981,0.19086981,0.19086981,1735633207.0
0.19086981,0.19091265,0.19091265,0.19086981,1735633208.0
0.19091265,0.19091265,0.19091265,0.19091265,1735633209.0
0.19091265,0.19091265,0.19091265,0.19091265,1735633210.0
0.19091265,0.19091265,0.19091265,0.19091265,1735633211.0
0.19091265,0.19091265,0.19091265,0.19091265,1735633212.0
0.19091265,0.19091265,0.19091265,0.19091265,1735633213.0
0.19091265,0.19101576,0.19101576,0.19091265,1735633214.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633215.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633216.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633217.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633218.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633219.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633220.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633221.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633222.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633223.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633224.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633225.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633226.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633227.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633228.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633229.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633230.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633231.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633232.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633233.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633234.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633235.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633236.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633237.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633238.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633239.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633240.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633241.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633242.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633243.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633244.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633245.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633246.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633247.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633248.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633249.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633250.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633251.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633252.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633253.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633254.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633255.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633256.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633257.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633258.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633259.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633260.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633261.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633262.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633263.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633264.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633265.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633266.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633267.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633268.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633269.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633270.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633271.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633272.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633273.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633274.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633275.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633276.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633277.0
0.19101576,0.19101576,0.19101576,0.19101576,1735633278.0
0.19101576,0.19034858,0.19101576,0.19034858,1735633279.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633280.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633281.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633282.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633283.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633284.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633285.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633286.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633287.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633288.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633289.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633290.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633291.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633292.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633293.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633294.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633295.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633296.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633297.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633298.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633299.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633300.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633301.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633302.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633303.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633304.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633305.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633306.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633307.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633308.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633309.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633310.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633311.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633312.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633313.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633314.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633315.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633316.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633317.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633318.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633319.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633320.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633321.0
0.19034858,0.19034858,0.19034858,0.19034858,1735633322.0
